periodo,provincia,provincia_id,efectores_pagos,monto_ms
2013-04-01,Santiago del Estero,86,2650.0,221750.0
2013-04-01,Tucumán,90,14596.0,1138849.92
2013-04-01,Tierra del Fuego,94,93.0,5650.0
2013-05-01,Ciudad de Buenos Aires,02,2888.0,185130.0
2013-05-01,Buenos Aires,06,136502.0,10388724.13
2013-05-01,Catamarca,10,3304.0,253500.0
2013-05-01,Córdoba,14,4650.0,347700.0
2013-05-01,Corrientes,18,7720.0,733456.549999999
2013-05-01,Chaco,22,6521.0,392150.0
2013-05-01,Chubut,26,804.0,59650.0
2013-05-01,Entre Ríos,30,8033.0,599750.0
2013-05-01,Formosa,34,3425.0,243650.0
2013-05-01,Jujuy,38,4506.0,286150.0
2013-05-01,La Pampa,42,1533.0,112850.0
2013-05-01,La Rioja,46,2113.0,153050.0
2013-05-01,Mendoza,50,5809.0,420430.0
2013-05-01,Misiones,54,14990.0,978879.25
2013-05-01,Neuquén,58,1209.0,79165.0
2013-05-01,Río Negro,62,5722.0,416633.2
2013-05-01,Salta,66,2663.0,192750.0
2013-05-01,San Juan,70,2307.0,172750.0
2013-05-01,San Luis,74,1018.0,73750.0
2013-05-01,Santa Cruz,78,70.0,3950.0
2013-05-01,Santa Fe,82,7038.0,554150.0
2013-05-01,Santiago del Estero,86,2747.0,224300.0
2013-05-01,Tucumán,90,15163.0,1166000.0
2013-05-01,Tierra del Fuego,94,93.0,5850.0
2013-06-01,Ciudad de Buenos Aires,02,2843.0,183000.0
2013-06-01,Buenos Aires,06,134052.0,10164507.96
2013-06-01,Catamarca,10,3356.0,260300.0
2013-06-01,Córdoba,14,4940.0,370050.0
2013-06-01,Corrientes,18,7756.0,747553.45
2013-06-01,Chaco,22,6567.0,400090.0
2013-06-01,Chubut,26,813.0,61950.0
2013-06-01,Entre Ríos,30,8000.0,603999.49
2013-06-01,Formosa,34,3629.0,264150.0
2013-06-01,Jujuy,38,4490.0,286500.0
2013-06-01,La Pampa,42,1622.0,119600.0
2013-06-01,La Rioja,46,2147.0,157700.0
2013-06-01,Mendoza,50,5904.0,4316887.0
2013-06-01,Misiones,54,14749.0,973200.0
2013-06-01,Neuquén,58,1201.0,78830.0
2013-06-01,Río Negro,62,5849.0,427230.0
2013-06-01,Salta,66,2656.0,193976.7
2013-06-01,San Juan,70,2378.0,1831202.0
2013-06-01,San Luis,74,1007.0,73200.0
2013-06-01,Santa Cruz,78,96.0,5950.0
2013-06-01,Santa Fe,82,7241.0,575100.0
2013-06-01,Santiago del Estero,86,2748.0,228100.0
2013-06-01,Tucumán,90,15198.0,1177099.43
2013-06-01,Tierra del Fuego,94,124.0,7300.0
2013-07-01,Ciudad de Buenos Aires,02,3115.0,200500.0
2013-07-01,Buenos Aires,06,139313.0,10586440.35
2013-07-01,Catamarca,10,3483.0,273750.0
2013-07-01,Córdoba,14,5195.0,388345.24
2013-07-01,Corrientes,18,8143.0,783965.0
2013-07-01,Chaco,22,6768.0,413317.49
2013-07-01,Chubut,26,875.0,65700.0
2013-07-01,Entre Ríos,30,8280.0,623250.0
2013-07-01,Formosa,34,3860.0,281600.0
2013-07-01,Jujuy,38,4310.0,283515.0
2013-07-01,La Pampa,42,1689.0,122800.0
2013-07-01,La Rioja,46,2210.0,162650.0
2013-07-01,Mendoza,50,5992.0,442000.0
2013-07-01,Misiones,54,15595.0,1043099.6
2013-07-01,Neuquén,58,1289.0,85115.0
2013-07-01,Río Negro,62,6192.0,452030.0
2013-07-01,Salta,66,2694.0,197600.0
2013-07-01,San Juan,70,2382.0,184750.0
2013-07-01,San Luis,74,1086.0,80250.0
2013-07-01,Santa Cruz,78,100.0,6400.0
2013-07-01,Santa Fe,82,7669.0,603050.0
2013-07-01,Santiago del Estero,86,2880.0,245500.0
2013-07-01,Tucumán,90,15412.0,1199600.0
2013-07-01,Tierra del Fuego,94,127.0,7600.0
2013-08-01,Ciudad de Buenos Aires,02,3174.0,205900.0
2013-08-01,Buenos Aires,06,143065.0,11185227.25
2013-08-01,Catamarca,10,3461.0,273950.0
2013-08-01,Córdoba,14,5421.0,401989.0
2013-08-01,Corrientes,18,8205.0,783541.7
2013-08-01,Chaco,22,6777.0,416150.0
2013-08-01,Chubut,26,840.0,65000.0
2013-08-01,Entre Ríos,30,8303.0,620000.0
2013-08-01,Formosa,34,3968.0,290550.0
2013-08-01,Jujuy,38,4697.0,307165.0
2013-08-01,La Pampa,42,1720.0,123850.0
2013-08-01,La Rioja,46,2192.0,162050.0
2013-08-01,Mendoza,50,6361.0,463644.0
2013-08-01,Misiones,54,15117.0,1040500.0
2013-08-01,Neuquén,58,1282.0,842118.0
2013-08-01,Río Negro,62,6170.0,447810.5
2013-08-01,Salta,66,2735.0,200400.0
2013-08-01,San Juan,70,2499.0,191600.0
2013-08-01,San Luis,74,1112.0,84700.0
2013-08-01,Santa Cruz,78,97.0,6150.0
2013-08-01,Santa Fe,82,7791.0,610500.0
2013-08-01,Santiago del Estero,86,2860.0,244300.0
2013-08-01,Tucumán,90,15254.0,1188750.0
2013-08-01,Tierra del Fuego,94,124.0,7700.0
2013-09-01,Ciudad de Buenos Aires,02,3341.0,267050.0
2013-09-01,Buenos Aires,06,180605.0,19954366.1
2013-09-01,Catamarca,10,3538.0,283350.0
2013-09-01,Córdoba,14,5607.0,413600.0
2013-09-01,Corrientes,18,8326.0,798750.0
2013-09-01,Chaco,22,6967.0,439835.0
2013-09-01,Chubut,26,859.0,66350.0
2013-09-01,Entre Ríos,30,8370.0,631850.0
2013-09-01,Formosa,34,4063.0,302450.0
2013-09-01,Jujuy,38,4651.0,304350.0
2013-09-01,La Pampa,42,1841.0,133550.0
2013-09-01,La Rioja,46,2228.0,168100.0
2013-09-01,Mendoza,50,6417.0,470620.0
2013-09-01,Misiones,54,15458.0,1060950.0
2013-09-01,Neuquén,58,1316.0,86415.0
2013-09-01,Río Negro,62,6267.0,453965.0
2013-09-01,Salta,66,2726.0,202150.0
2013-09-01,San Juan,70,2435.0,189900.0
2013-09-01,San Luis,74,1115.0,84850.0
2013-09-01,Santa Cruz,78,101.0,6600.0
2013-09-01,Santa Fe,82,8179.0,644950.0
2013-09-01,Santiago del Estero,86,2880.0,248850.0
2013-09-01,Tucumán,90,15362.0,1203100.0
2013-09-01,Tierra del Fuego,94,128.0,7950.0
2013-10-01,Ciudad de Buenos Aires,02,3153.0,255900.0
2013-10-01,Buenos Aires,06,178868.0,19929883.0
2013-10-01,Catamarca,10,3519.0,279200.0
2013-10-01,Córdoba,14,5510.0,407950.0
2013-10-01,Corrientes,18,8370.0,810289.53
2013-10-01,Chaco,22,5830.0,381150.0
2013-10-01,Chubut,26,852.0,65837.0
2013-10-01,Entre Ríos,30,8310.0,637350.0
2013-10-01,Formosa,34,3938.0,292000.0
2013-10-01,Jujuy,38,4554.0,298259.75
2013-10-01,La Pampa,42,1794.0,131300.0
2013-10-01,La Rioja,46,2168.0,163800.0
2013-10-01,Mendoza,50,6348.0,468340.0
2013-10-01,Misiones,54,14642.0,1029799.22
2013-10-01,Neuquén,58,1622.0,102250.0
2013-10-01,Río Negro,62,6037.0,441610.0
2013-10-01,Salta,66,2759.0,212250.0
2013-10-01,San Juan,70,2423.0,191800.0
2013-10-01,San Luis,74,1248.0,92250.0
2013-10-01,Santa Cruz,78,102.0,6450.0
2013-10-01,Santa Fe,82,8045.0,637050.0
2013-10-01,Santiago del Estero,86,2962.0,261300.0
2013-10-01,Tucumán,90,15382.0,1220550.0
2013-10-01,Tierra del Fuego,94,124.0,7750.0
2013-11-01,Ciudad de Buenos Aires,02,3885.0,465680.0
2013-11-01,Buenos Aires,06,188038.0,30511516.54
2013-11-01,Catamarca,10,4530.0,722727.0
2013-11-01,Córdoba,14,6468.0,737022.5
2013-11-01,Corrientes,18,11765.0,2202004.5
2013-11-01,Chaco,22,9653.0,1444761.0
2013-11-01,Chubut,26,901.0,103602.0
2013-11-01,Entre Ríos,30,10540.0,1562401.97
2013-11-01,Formosa,34,5456.0,841487.0
2013-11-01,Jujuy,38,4846.0,495727.0
2013-11-01,La Pampa,42,1999.0,224263.0
2013-11-01,La Rioja,46,3447.0,625539.0
2013-11-01,Mendoza,50,8209.0,1181646.0
2013-11-01,Misiones,54,18082.0,2382518.7
2013-11-01,Neuquén,58,1867.0,182351.0
2013-11-01,Río Negro,62,6715.0,762573.11
2013-11-01,Salta,66,7155.0,1656691.0
2013-11-01,San Juan,70,4596.0,958773.0
2013-11-01,San Luis,74,2230.0,408211.0
2013-11-01,Santa Cruz,78,100.0,10078.0
2013-11-01,Santa Fe,82,8916.0,1093449.75
2013-11-01,Santiago del Estero,86,5629.0,1229310.0
2013-11-01,Tucumán,90,28997.0,6096065.0
2013-11-01,Tierra del Fuego,94,131.0,14670.0
2013-12-01,Ciudad de Buenos Aires,02,3716.0,417171.0
2013-12-01,Buenos Aires,06,186506.0,29938724.28
2013-12-01,Catamarca,10,4577.0,724098.0
2013-12-01,Córdoba,14,6489.0,680871.77
2013-12-01,Corrientes,18,11688.0,2169913.7
2013-12-01,Chaco,22,9389.0,1414121.0
2013-12-01,Chubut,26,896.0,98099.0
2013-12-01,Entre Ríos,30,10403.0,1504233.25
2013-12-01,Formosa,34,5305.0,812672.0
2013-12-01,Jujuy,38,4809.0,455089.0
2013-12-01,La Pampa,42,1988.0,207799.0
2013-12-01,La Rioja,46,3430.0,619588.0
2013-12-01,Mendoza,50,8243.0,1146462.14
2013-12-01,Misiones,54,18727.0,2383500.68
